ID,WindCode,StartDate,EndDate
193,600811.SH,19940106,20751231
194,000534.SZ,19940110,20751231
195,000559.SZ,19940110,20751231
196,000563.SZ,19940110,20751231
197,000564.SZ,19940110,20751231
198,600812.SH,19940114,20751231
199,600813.SH,19940114,20020916
200,600814.SH,19940114,20751231
201,600815.SH,19940128,20751231
202,600816.SH,19940128,20751231
203,600817.SH,19940128,20751231
204,600818.SH,19940128,20751231
205,600819.SH,19940128,20751231
206,600820.SH,19940128,20751231
207,600821.SH,19940128,20751231
208,000021.SZ,19940202,20751231
209,000540.SZ,19940202,20751231
210,000560.SZ,19940202,20751231
211,000562.SZ,19940202,20150126
212,600822.SH,19940204,20751231
213,600823.SH,19940204,20751231
214,600824.SH,19940204,20751231
215,600825.SH,19940204,20751231
216,600826.SH,19940204,20751231
217,600827.SH,19940204,20751231
218,600828.SH,19940224,20751231
219,600829.SH,19940224,20751231
220,600830.SH,19940224,20751231
221,600831.SH,19940224,20751231
222,600832.SH,19940224,20150520
223,600833.SH,19940224,20751231
224,600834.SH,19940224,20751231
225,600835.SH,19940224,20751231
226,600836.SH,19940224,20751231
227,600837.SH,19940224,20751231
228,600838.SH,19940224,20751231
229,600839.SH,19940311,20751231
230,600840.SH,19940311,20090827
231,600841.SH,19940311,20751231
232,600842.SH,19940311,20100212
233,600843.SH,19940311,20751231
234,600844.SH,19940311,20751231
235,600845.SH,19940311,20751231
236,600846.SH,19940311,20751231
237,600847.SH,19940324,20751231
238,600848.SH,19940324,20751231
239,600850.SH,19940324,20751231
240,601607.SH,19940324,20751231
241,600851.SH,19940404,20751231
242,600852.SH,19940404,20050916
243,600853.SH,19940404,20751231
244,000035.SZ,19940408,20751231
245,000039.SZ,19940408,20751231
246,000555.SZ,19940408,20751231
247,000565.SZ,19940408,20751231
248,000569.SZ,19940425,20090506
249,600854.SH,19940425,20751231
250,600855.SH,19940425,20751231
251,600856.SH,19940425,20751231
252,600857.SH,19940425,20751231
253,600858.SH,19940506,20751231
254,600859.SH,19940506,20751231
255,600860.SH,19940506,20751231
256,000034.SZ,19940509,20751231
257,000558.SZ,19940509,20751231
258,000561.SZ,19940509,20751231
259,000568.SZ,19940509,20751231
