EnumID,EnumValue
322020,餐饮
323010,早幼教
323020,K12基础教育
323030,K12培训
323040,高等及职业教育
323050,教育信息化及在线教育
323060,教育综合
324010,人力资源服务
324020,服务综合
331010,白色家电Ⅲ
332010,黑色家电Ⅲ
333010,小家电Ⅲ
334010,照明电工
334020,其他家电
335010,厨房电器Ⅲ
341010,服装用纺织品
341010,棉纺制品
341020,非棉纺织品
341020,家用纺织品
341030,印染
341030,产业用纺织品
341040,其他纺织
342010,中高端成人品牌服饰
342010,服装Ⅲ
342020,大众成人品牌服饰
342030,休闲快时尚
342040,体育及户外品牌
342050,家纺
342060,儿童品牌
342070,功能性服饰
342080,其他时尚品
343010,服饰Ⅲ
351010,化学原料药
351020,化学制剂
352010,中药饮片
352020,中成药
353010,生物医药Ⅲ
354010,医药流通
354020,医疗器械
354030,医疗服务
361010,白酒
361020,啤酒
361030,其他酒
362010,啤酒
362020,葡萄酒
362030,黄酒
362040,非乳饮料
362050,乳制品
363010,肉制品
363020,调味品
363030,乳制品
363040,其他食品
363050,休闲食品
363060,速冻食品
371010,种业
371020,果蔬饮料
371030,农产品加工及流通
371040,种植
372010,饲料加工
372020,动物疫苗及兽药
372030,畜牧养殖
373010,林木及加工
374010,水产养殖
374020,水产捕捞
374030,水产品加工
375010,农产品加工Ⅲ
375020,宠物食品
401010,国有大型银行Ⅲ
402010,全国性股份制银行Ⅲ
402020,城商行
403010,城商行
403020,农商行
411010,证券Ⅲ
412010,保险Ⅲ
413010,信托
413020,其他非银金融
413030,租赁
413040,金融交易所及数据
421010,住宅物业开发
421020,非住宅物业开发和运营
421030,园区综合开发
422010,物业经纪服务
422020,物业管理服务
431010,资产管理Ⅲ
432010,多领域控股Ⅲ
433010,网络信贷
433020,数字金融服务
433030,其他新兴金融服务
434010,其他综合金融Ⅲ
501010,公路
501020,铁路
501030,公交
502010,公交
502020,物流综合
502030,快递
503010,航运
503020,港口
504010,航空
504020,机场
601010,半导体Ⅲ
601020,集成电路
601030,分立器件
601040,半导体材料
601050,半导体设备
602010,电子设备Ⅲ
603010,其他元器件Ⅲ
603020,PCB
603030,被动元件
604010,安防
604020,LED
604030,面板
604040,显示零组
605010,消费电子组件
605020,消费电子设备
606010,其他电子零组件Ⅲ
611010,电信运营Ⅲ
612010,动力设备
612020,其他通信设备
612030,通信终端及配件
612040,网络覆盖优化与运维
612050,网络接配及塔设
612060,系统设备
612070,线缆
613010,增值服务Ⅲ
614010,网络覆盖优化与运维
614020,网络规划设计和工程施工
621010,通用计算机设备
621020,专用计算机设备
622010,基础软件及管理办公软件
622020,行业应用软件
622030,新兴计算机软件
623010,IT外包服务
623020,系统集成及IT咨询
624010,云基础设施服务
624020,云平台服务
624030,云软件服务
624040,咨询实施及其他服务
625010,产业互联网信息服务
625020,产业互联网平台服务
625030,产业互联网综合服务
631010,出版
631020,广播电视
631030,电影动画
631040,互联网
631050,整合营销
632010,互联网广告营销
632020,其他广告营销
633010,影视
633020,动漫
633030,游戏
633040,其他文化娱乐
634010,信息搜索与聚合
634020,社交与互动媒体
634030,互联网影视音频
701010,综合Ⅲ
701020,教育
