Date,RawPnl,Pnl,LongValue,ShortValue,RawReturn,Return,BookSize,TradeValue,LongNum,ShortNum,IC
20180130,0.0,0.0,10000000.0,-10000000.0,0.0,0.0,20000000.0,20000000.0,502,498,-0.031696
20180131,-85978.0,-85978.0,10000000.0,-10000000.0,-0.008598,-0.008598,20000000.0,2587719.0,496,504,-0.136018
