Date,Time,RawPnl,LongValue,ShortValue,RawReturn,BookSize,TradeValue,HoldValue,LongNum,ShortNum,IC
20180130,15:00:00,0.0,10000000.0,-10000000.0,0.0,20000000.0,20000000.0,0.0,502,498,-0.031696
20180131,15:00:00,-85978.0,10000000.0,-10000000.0,-0.008598,20000000.0,2587719.0,18706141.0,496,504,-0.136018
