Date,Time,RawPnl,LongValue,ShortValue,RawReturn,BookSize,TradeValue,HoldValue,LongNum,ShortNum,IC
20180130,15:00:00,0.0,12134869.0,-7865131.0,0.0,20000000.0,20000000.0,0.0,2136,1114,-0.048789
20180131,15:00:00,-242303.0,13308025.0,-6691975.0,-0.02423,20000000.0,11851150.0,14074425.0,2214,1023,-0.157733
